"","gender","state","cardholder","balance","numTrans","numIntlTrans","creditLine","fraudRisk","balance_q","credl_q","Segmento"
"156",0,10,1,12213,26,0,38,1,"4","4","1"
"157",0,6,1,3828,9,2,3,0,"2","1","3"
"158",1,19,1,7000,14,0,6,0,"3","2","3"
"159",1,5,1,2688,17,0,3,0,"1","1","3"
"160",0,43,1,0,100,7,11,1,"1","3","3"
"161",1,34,1,5000,10,5,4,0,"3","1","3"
"162",0,49,1,5849,100,0,16,1,"3","4","2"
"163",1,44,1,2415,55,0,3,0,"1","1","3"
"164",0,16,1,0,5,7,3,0,"1","1","3"
"165",0,5,1,4000,9,0,3,0,"2","1","3"
"166",1,39,1,10705,9,0,20,0,"4","4","1"
"167",1,23,0,2128,16,0,3,0,"1","1","3"
"168",1,2,1,5000,74,0,4,0,"3","1","3"
"169",0,4,1,1459,22,7,12,0,"1","4","3"
"170",0,39,1,1394,34,0,9,0,"1","3","3"
"171",1,39,1,3324,12,0,7,0,"2","3","3"
"172",0,32,1,7785,13,1,17,0,"4","4","1"
"173",0,5,1,3286,43,21,13,0,"2","4","3"
"174",1,48,1,5626,100,0,7,1,"3","3","3"
"175",0,32,1,5000,37,0,4,0,"3","1","3"
"176",1,44,1,6000,4,0,5,0,"3","2","3"
"177",1,32,1,905,72,0,5,0,"1","2","3"
"178",0,48,1,5000,23,0,4,0,"3","1","3"
"179",1,15,1,0,53,0,6,0,"1","2","3"
"180",0,14,1,0,4,0,2,0,"1","1","3"
"181",1,49,1,0,7,0,5,0,"1","2","3"
"182",0,29,1,2191,24,5,4,0,"1","1","3"
"183",1,33,1,7000,6,0,6,0,"3","2","3"
"184",1,35,1,4519,14,3,28,0,"3","4","2"
"185",0,35,1,6000,10,0,5,0,"3","2","3"
"186",1,32,1,624,73,0,10,0,"1","3","3"
"187",1,11,1,6000,5,0,5,0,"3","2","3"
"188",1,35,1,4000,4,1,3,0,"2","1","3"
"189",1,42,1,3000,54,0,2,0,"2","1","3"
"190",1,11,1,0,13,0,3,0,"1","1","3"
"191",1,18,0,4000,5,0,3,0,"2","1","3"
"192",1,10,1,3000,18,0,2,0,"2","1","3"
"193",0,5,1,0,8,0,3,0,"1","1","3"
"194",1,23,1,3000,19,0,2,0,"2","1","3"
"195",1,43,1,5879,4,31,17,0,"3","4","2"
"196",0,11,1,2812,66,0,3,0,"1","1","3"
"197",1,19,1,3000,64,0,2,0,"2","1","3"
"198",0,5,1,4694,40,0,4,0,"3","1","3"
"199",0,11,1,3000,5,0,2,0,"2","1","3"
"200",0,33,1,0,7,0,4,0,"1","1","3"
"201",1,44,1,2662,5,0,2,0,"1","1","3"
"202",0,13,1,0,35,0,5,0,"1","2","3"
"203",0,17,1,7272,8,14,10,0,"4","3","2"
"204",1,5,1,859,10,0,4,0,"1","1","3"
"205",1,26,1,0,8,0,5,0,"1","2","3"
"206",0,23,1,0,14,0,12,0,"1","4","3"
"207",1,16,0,0,10,0,15,0,"1","4","3"
"208",0,35,1,0,19,0,23,0,"1","4","3"
"209",1,44,1,0,18,0,3,0,"1","1","3"
"210",0,36,1,0,57,0,1,0,"1","1","3"
"211",0,44,1,336,14,0,2,0,"1","1","3"
"212",1,39,1,5000,19,0,4,0,"3","1","3"
"213",0,21,1,1972,12,0,9,0,"1","3","3"
"214",1,26,1,0,33,5,9,0,"1","3","3"
"215",0,24,1,3591,36,2,11,0,"2","3","3"
"216",0,5,1,4847,22,0,64,0,"3","4","2"
"217",0,21,1,804,2,0,7,0,"1","3","3"
"218",0,11,1,0,96,0,10,0,"1","3","3"
"219",1,32,1,4000,19,0,3,0,"2","1","3"
"220",0,10,1,3000,10,1,2,0,"2","1","3"
"221",1,10,1,7000,73,4,6,0,"3","2","3"
"222",1,5,1,5000,15,1,4,0,"3","1","3"
"223",1,13,1,4844,7,2,4,0,"3","1","3"
"224",1,23,1,6423,73,0,12,0,"3","4","2"
"225",0,44,1,0,19,0,1,0,"1","1","3"
"226",1,44,1,0,4,0,6,0,"1","2","3"
"227",0,27,1,0,17,1,7,0,"1","3","3"
"228",1,35,1,6000,49,0,5,0,"3","2","3"
"229",1,44,1,0,9,0,1,0,"1","1","3"
"230",1,5,1,0,49,4,2,0,"1","1","3"
"231",1,20,1,0,100,3,3,0,"1","1","3"
"232",0,20,1,0,14,0,19,0,"1","4","3"
"233",1,19,1,0,31,0,10,0,"1","3","3"
"234",1,44,1,5000,17,0,4,0,"3","1","3"
"235",1,44,1,5000,2,0,4,0,"3","1","3"
"236",1,5,1,0,14,0,3,0,"1","1","3"
"237",1,28,0,6000,21,1,5,0,"3","2","3"
"238",1,20,1,2000,36,36,1,0,"1","1","3"
"239",1,39,1,7000,24,0,6,0,"3","2","3"
"240",1,19,1,5000,5,2,4,0,"3","1","3"
"241",0,21,1,11000,6,0,10,0,"4","3","2"
"242",1,24,1,3000,18,0,2,0,"2","1","3"
"243",1,29,1,5000,1,8,4,0,"3","1","3"
"244",1,16,1,5000,55,0,4,0,"3","1","3"
"245",1,20,1,12136,8,0,20,0,"4","4","1"
"246",1,15,1,3141,19,0,9,0,"2","3","3"
"247",1,11,1,0,49,3,10,0,"1","3","3"
"248",1,44,1,3668,100,0,8,0,"2","3","3"
"249",0,44,1,0,76,51,3,0,"1","1","3"
"250",1,23,1,0,100,0,3,0,"1","1","3"
"251",0,29,1,0,16,34,5,0,"1","2","3"
"252",1,11,1,6738,15,4,30,0,"3","4","2"
"253",0,25,1,59,28,6,7,0,"1","3","3"
"254",1,44,1,8459,11,11,10,0,"4","3","2"
"255",0,39,1,0,13,14,5,0,"1","2","3"
"256",1,5,1,0,6,0,7,0,"1","3","3"
"257",1,20,1,3000,10,14,2,0,"2","1","3"
"258",1,15,1,6000,7,10,5,0,"3","2","3"
"259",1,44,1,3000,9,0,2,0,"2","1","3"
"260",1,49,1,5000,24,6,4,0,"3","1","3"
"261",1,35,1,11000,13,2,10,0,"4","3","2"
"262",1,19,1,903,2,5,67,0,"1","4","3"
"263",1,35,1,0,27,0,3,0,"1","1","3"
"264",1,41,1,0,25,0,7,0,"1","3","3"
"265",1,25,1,2712,24,5,3,0,"1","1","3"
"266",1,44,1,4475,24,0,4,0,"3","1","3"
"267",1,43,1,7000,29,0,6,0,"3","2","3"
"268",1,14,1,490,30,17,24,0,"1","4","3"
"269",1,35,1,1098,17,0,9,0,"1","3","3"
"270",1,46,1,0,2,2,7,0,"1","3","3"
"271",1,29,1,7000,3,60,6,0,"3","2","3"
"272",1,22,1,10388,26,0,34,1,"4","4","1"
"273",0,4,1,9422,47,0,15,0,"4","4","1"
"274",1,48,1,0,19,0,5,0,"1","2","3"
"275",1,25,1,1719,14,0,3,0,"1","1","3"
"276",1,36,1,2624,75,1,7,0,"1","3","3"
"277",0,35,1,4513,8,2,9,0,"3","3","3"
"278",1,6,0,4000,100,0,3,0,"2","1","3"
"279",1,5,1,4517,40,9,4,0,"3","1","3"
"280",0,16,1,4934,29,0,5,0,"3","2","3"
"281",0,35,1,1557,8,0,15,0,"1","4","3"
"282",0,51,1,5220,49,0,7,0,"3","3","3"
"283",0,44,1,3546,23,0,5,0,"2","2","3"
"284",0,49,1,0,30,16,3,0,"1","1","3"
"285",1,50,1,0,100,0,13,0,"1","4","3"
"286",1,36,1,5000,3,2,4,0,"3","1","3"
"287",1,20,1,13645,27,7,17,1,"4","4","1"
"288",0,10,1,5838,9,3,13,0,"3","4","2"
"289",1,25,0,6000,90,0,5,0,"3","2","3"
"290",1,28,1,5000,13,2,4,0,"3","1","3"
"291",1,10,1,4000,27,3,3,0,"2","1","3"
"292",1,21,1,0,11,0,6,0,"1","2","3"
"293",0,49,1,11000,35,7,10,0,"4","3","2"
"294",0,39,1,6000,53,3,5,0,"3","2","3"
"295",1,5,1,10392,16,0,31,0,"4","4","1"
"296",0,39,1,10212,100,0,10,1,"4","3","2"
"297",1,48,0,1276,15,4,6,0,"1","2","3"
"298",1,24,1,5000,13,0,4,0,"3","1","3"
"299",0,5,1,7000,72,0,6,1,"3","2","3"
"300",0,35,1,0,18,8,11,0,"1","3","3"
"301",1,15,1,0,18,0,3,0,"1","1","3"
"302",0,10,1,0,27,8,3,0,"1","1","3"
"303",0,11,1,0,2,1,4,0,"1","1","3"
"304",1,44,1,1999,5,0,1,0,"1","1","3"
"305",1,10,1,2000,18,0,1,0,"1","1","3"
"306",0,15,1,9000,2,0,8,0,"4","3","2"
"307",1,44,1,5000,3,1,4,0,"3","1","3"
"308",0,17,1,8831,2,0,40,0,"4","4","1"
"309",1,45,1,4000,3,21,3,0,"2","1","3"
"310",1,35,1,6000,15,3,5,0,"3","2","3"
"311",1,36,1,8000,57,0,7,0,"4","3","2"
"312",1,5,1,4468,24,0,6,0,"3","2","3"
"313",0,16,1,3000,100,0,2,0,"2","1","3"
"314",1,43,1,4421,16,0,4,0,"3","1","3"
"315",1,5,1,3000,18,0,2,0,"2","1","3"
"316",1,35,1,5000,89,6,4,0,"3","1","3"
"317",1,16,1,10000,5,0,9,0,"4","3","2"
"318",0,36,1,3051,100,0,3,0,"2","1","3"
"319",1,44,1,619,11,0,2,0,"1","1","3"
"320",0,10,1,0,44,28,9,0,"1","3","3"
"321",1,5,1,8000,15,0,7,0,"4","3","2"
"322",0,35,1,0,65,5,19,0,"1","4","3"
"323",1,10,1,4000,15,4,3,0,"2","1","3"
"324",1,34,1,0,13,1,7,0,"1","3","3"
"325",1,36,1,5881,94,0,6,0,"3","2","3"
"326",1,35,1,5000,49,4,4,0,"3","1","3"
"327",1,17,1,0,10,0,4,0,"1","1","3"
"328",0,49,1,0,8,1,31,0,"1","4","3"
"329",1,44,1,2587,13,1,16,0,"1","4","3"
"330",0,15,1,0,15,0,12,0,"1","4","3"
"331",0,36,1,13544,12,0,15,0,"4","4","1"
"332",1,48,1,0,48,4,6,0,"1","2","3"
"333",1,23,1,0,3,1,3,0,"1","1","3"
"334",1,10,1,0,81,28,3,0,"1","1","3"
"335",0,4,1,6000,15,0,5,0,"3","2","3"
"336",1,35,1,5526,1,0,11,0,"3","3","3"
"337",0,39,0,2061,18,0,5,0,"1","2","3"
"338",1,21,1,6000,12,6,5,0,"3","2","3"
"339",1,23,1,5036,100,9,11,0,"3","3","3"
"340",0,36,1,0,94,4,5,0,"1","2","3"
"341",0,47,1,1555,24,5,9,0,"1","3","3"
"342",1,20,1,0,13,0,2,0,"1","1","3"
"343",0,5,1,4956,25,0,15,0,"3","4","2"
"344",1,10,1,7000,8,8,6,0,"3","2","3"
"345",0,26,1,0,39,0,3,0,"1","1","3"
"346",1,2,1,6642,100,4,7,0,"3","3","3"
"347",1,12,1,0,15,0,6,0,"1","2","3"
"348",1,32,1,6000,99,6,5,0,"3","2","3"
"349",0,41,1,6659,12,0,7,0,"3","3","3"
"350",1,35,1,4000,8,8,3,0,"2","1","3"
"351",0,44,1,7000,25,0,6,0,"3","2","3"
"352",0,5,1,1407,12,0,2,0,"1","1","3"
"353",0,1,1,8422,13,0,14,0,"4","4","1"
"354",1,35,1,3000,11,0,2,0,"2","1","3"
"355",1,10,1,2882,20,5,7,0,"2","3","3"
"356",1,35,1,4000,11,5,3,0,"2","1","3"
"357",1,11,1,8000,20,0,7,0,"4","3","2"
"358",0,26,0,1821,47,4,32,0,"1","4","3"
"359",0,24,1,14000,12,0,13,0,"4","4","1"
"360",0,25,1,51,3,0,4,0,"1","1","3"
"361",1,41,1,0,3,8,3,0,"1","1","3"
"362",1,5,1,3000,86,2,2,0,"2","1","3"
"363",0,26,1,4159,34,0,5,0,"2","2","3"
"364",1,15,1,0,3,12,6,0,"1","2","3"
"365",0,39,1,4746,12,0,5,0,"3","2","3"
"366",1,22,1,5000,18,7,4,0,"3","1","3"
"367",1,29,1,6919,67,0,23,1,"3","4","2"
"368",0,31,1,0,4,1,6,0,"1","2","3"
"369",1,39,1,4008,18,0,13,0,"2","4","3"
"370",0,31,1,173,10,0,45,0,"1","4","3"
"371",1,2,1,7222,13,0,9,0,"4","3","2"
"372",1,20,1,4000,4,0,3,0,"2","1","3"
"373",1,29,1,3551,20,0,6,0,"2","2","3"
"374",0,4,1,4000,44,0,3,0,"2","1","3"
"375",1,26,1,4000,6,0,3,0,"2","1","3"
"376",1,35,1,3526,8,0,7,0,"2","3","3"
"377",1,2,1,1724,12,0,6,0,"1","2","3"
"378",1,20,1,0,8,0,6,0,"1","2","3"
"379",1,34,1,7000,24,0,6,0,"3","2","3"
"380",1,16,1,6963,81,3,21,1,"3","4","2"
"381",1,15,1,1435,5,0,4,0,"1","1","3"
"382",0,44,1,10000,9,0,9,0,"4","3","2"
"383",1,47,1,5000,4,0,4,0,"3","1","3"
"384",0,44,1,5000,15,0,4,0,"3","1","3"
"385",0,48,1,583,26,0,4,0,"1","1","3"
"386",1,18,1,3193,29,0,5,0,"2","2","3"
"387",1,5,1,0,56,0,7,0,"1","3","3"
"388",1,22,1,7625,9,23,15,0,"4","4","1"
"389",1,11,1,9000,8,1,8,0,"4","3","2"
"390",1,39,1,352,29,0,7,0,"1","3","3"
"391",1,33,1,5974,27,9,12,0,"3","4","2"
"392",1,10,1,15000,42,8,14,0,"4","4","1"
"393",1,7,1,2246,17,0,3,0,"1","1","3"
"394",1,5,1,1228,8,32,6,0,"1","2","3"
"395",1,35,1,7365,12,0,8,0,"4","3","2"
"396",1,48,1,5000,4,6,4,0,"3","1","3"
"397",0,35,1,0,7,0,6,0,"1","2","3"
"398",1,5,1,571,2,0,6,0,"1","2","3"
"399",0,39,1,4000,15,0,3,0,"2","1","3"
"400",1,36,1,3000,62,0,2,0,"2","1","3"
"401",1,39,1,0,48,0,6,0,"1","2","3"
"402",0,29,1,4849,8,4,4,0,"3","1","3"
"403",0,37,1,5148,50,0,6,0,"3","2","3"
"404",0,45,1,0,12,0,3,0,"1","1","3"
"405",0,5,1,12000,36,6,11,1,"4","3","2"
"406",1,44,1,0,20,0,7,0,"1","3","3"
"407",0,10,0,4000,4,0,3,0,"2","1","3"
"408",1,39,1,5530,12,1,11,0,"3","3","3"
"409",0,36,1,2663,5,0,16,0,"1","4","3"
"410",1,43,1,0,100,13,3,0,"1","1","3"
"411",1,5,1,4536,39,0,6,0,"3","2","3"
"412",0,45,1,3210,16,0,5,0,"2","2","3"
"413",0,35,1,3000,35,14,2,0,"2","1","3"
"414",1,23,1,3000,20,0,2,0,"2","1","3"
"415",1,15,1,5000,6,12,4,0,"3","1","3"
"416",1,4,1,1211,8,0,2,0,"1","1","3"
"417",1,32,1,0,30,3,6,0,"1","2","3"
"418",0,4,1,18470,59,0,31,1,"4","4","1"
"419",1,5,1,8000,30,0,7,0,"4","3","2"
"420",1,34,1,0,19,0,3,0,"1","1","3"
"421",1,39,1,6760,100,0,25,0,"3","4","2"
"422",1,32,1,0,16,5,5,0,"1","2","3"
"423",1,15,1,2053,30,0,42,0,"1","4","3"
"424",0,13,1,12280,100,0,32,1,"4","4","1"
"425",1,44,1,0,16,1,2,0,"1","1","3"
"426",0,44,1,3370,24,1,5,0,"2","2","3"
"427",0,32,1,14322,4,3,23,0,"4","4","1"
"428",0,15,1,0,10,0,4,0,"1","1","3"
"429",0,46,1,0,64,0,18,0,"1","4","3"
"430",1,36,1,10166,55,52,13,0,"4","4","1"
"431",0,29,1,4289,54,0,4,0,"2","1","3"
"432",1,7,1,0,49,0,3,0,"1","1","3"
"433",0,50,1,1267,19,10,1,0,"1","1","3"
"434",1,8,1,2006,3,0,6,0,"1","2","3"
"435",1,4,1,0,7,0,5,0,"1","2","3"
"436",0,48,1,0,68,0,3,0,"1","1","3"
"437",1,11,1,3046,6,1,5,0,"2","2","3"
"438",1,14,1,4000,17,2,3,0,"2","1","3"
"439",1,5,1,3065,19,0,5,0,"2","2","3"
"440",1,44,1,11285,33,0,23,0,"4","4","1"
"441",1,29,1,543,86,0,9,0,"1","3","3"
"442",1,16,0,10000,4,0,9,0,"4","3","2"
"443",0,23,1,0,10,0,20,0,"1","4","3"
"444",0,4,1,5000,15,4,4,0,"3","1","3"
"445",1,10,1,3000,4,0,2,0,"2","1","3"
"446",1,43,1,3367,9,7,14,0,"2","4","3"
"447",1,35,1,4000,16,0,3,0,"2","1","3"
"448",1,29,1,5000,85,0,4,0,"3","1","3"
"449",1,35,1,6881,23,0,55,0,"3","4","2"
"450",1,25,1,0,100,0,5,0,"1","2","3"
"451",1,24,1,10025,15,0,13,0,"4","4","1"
"452",0,11,1,9382,5,8,13,0,"4","4","1"
"453",1,17,1,8000,55,0,7,0,"4","3","2"
"454",1,4,1,4857,38,0,6,0,"3","2","3"
"455",1,45,1,0,40,0,2,0,"1","1","3"
"456",0,10,1,6000,32,0,5,0,"3","2","3"
"457",0,44,1,3031,30,0,12,0,"2","4","3"
"458",0,28,1,0,66,9,3,0,"1","1","3"
"459",1,4,1,14187,5,0,17,0,"4","4","1"
"460",1,14,1,0,8,8,3,0,"1","1","3"
"461",1,5,1,0,28,2,4,0,"1","1","3"
"462",0,36,1,0,10,0,75,1,"1","4","3"
"463",1,25,1,0,14,0,7,0,"1","3","3"
"464",0,29,1,6000,100,0,5,0,"3","2","3"
"465",0,5,1,4000,8,0,3,0,"2","1","3"
"466",1,16,1,5000,11,0,4,0,"3","1","3"
"467",0,36,1,0,7,0,2,0,"1","1","3"
"468",1,49,1,4000,71,0,3,0,"2","1","3"
"469",0,4,1,5000,100,1,4,0,"3","1","3"
"470",0,48,1,0,15,0,4,0,"1","1","3"
"471",0,1,1,8330,23,0,8,0,"4","3","2"
"472",1,24,1,0,25,3,5,0,"1","2","3"
"473",1,19,1,0,92,2,5,0,"1","2","3"
"474",0,10,1,319,8,6,3,0,"1","1","3"
"475",0,44,1,3000,17,0,2,0,"2","1","3"
"476",0,15,1,3000,8,4,2,0,"2","1","3"
"477",0,29,1,9000,12,0,8,0,"4","3","2"
"478",1,5,1,4000,51,0,3,0,"2","1","3"
"479",0,5,1,0,8,0,6,0,"1","2","3"
"480",0,10,1,6000,21,2,5,0,"3","2","3"
"481",0,48,1,3000,71,7,2,0,"2","1","3"
"482",1,10,1,10000,14,17,9,0,"4","3","2"
"483",1,44,1,3030,7,0,6,0,"2","2","3"
"484",0,39,1,1764,23,3,3,0,"1","1","3"
"485",0,25,1,0,5,0,6,0,"1","2","3"
"486",1,28,1,4098,26,0,18,0,"2","4","3"
"487",0,38,1,13755,23,0,18,1,"4","4","1"
"488",0,44,1,3714,6,0,4,0,"2","1","3"
"489",1,5,1,9629,23,2,30,0,"4","4","1"
"490",1,35,1,0,12,0,5,0,"1","2","3"
"491",0,23,1,17847,11,0,57,1,"4","4","1"
"492",0,10,1,6000,26,29,5,1,"3","2","3"
"493",0,46,1,0,91,7,3,0,"1","1","3"
"494",1,10,1,5000,14,0,4,0,"3","1","3"
"495",0,44,1,3000,33,1,2,0,"2","1","3"
"496",1,36,1,4000,9,0,3,0,"2","1","3"
"497",0,11,1,6186,20,0,13,0,"3","4","2"
"498",1,48,1,0,32,0,5,0,"1","2","3"
"499",1,5,1,6598,13,2,12,0,"3","4","2"
"500",0,4,1,4000,40,1,3,0,"2","1","3"
"501",0,32,1,4000,21,5,3,0,"2","1","3"
